id_instancia,ROOT,progress_bar_activo,puerto_debug,puerto_base,puerto_base_drp,ip_red_equipos,ip_red_admin,puerto_rx_notificaciones,puerto_tx_comandos,tabla_bitacora,tipo_equipos,filtrar_duplicados,usar_kafka,geo_referenciar_notificaciones,geo_referenciar_trayectos,geo_referenciar_robos,num_conexiones_cache,usar_metodos_p,periodo_salidasgsm,filtrar_mobil_eye,puerto_nagios,puerto_ejercitador,tipo_instancia,nombre_corto,nombre_instancia,canales,usar_manejador_beacontrack
SUNTECH-PRUEBAS-560,/siscom,no,8899,56000,56000,192.168.2.59,10.190.5.51,5521,9000,RXSUNTEC,SUNTECH,no,no,si,si,si,3,no,600,no,8561,7902,prod,PBA-SUN-560,Servidor de pruebas de comunicaciones Suntech 560xx,"'OTA-Suntech-TC01', 'ST340RA-TC-01', 'ST340RA-MS-01'",si
SUNTECH-PRUEBAS-561,/siscom,no,8877,56100,56010,192.168.2.59,10.190.5.51,5626,9002,RXSUNTEC,SUNTECH,no,no,si,si,si,3,no,600,no,56180,7904,pbas,PBA-SUN-561,Servidor de pruebas de comunicaciones Suntech 561xx,"'ST215-MS3-02','ST215-MS3-03','ST215-TC-02','ST215-TC-03'",si
QUECLINK-PRUEBAS-550,/siscom,no,8888,55000,55000,192.168.2.59,10.190.5.51,5050,5050,RXQUECLINK,QUECLINK,no,no,si,si,si,3,no,600,no,8550,7906,pbas,PBA-QUECLINK,Servidor de pruebas de comunicaciones Queclink,"'GV300-TC-01','GV300-MS3-01','GV300-MS3-02','GV300-TC-02'",si
CMIA-SKY-SUN-OP2,/siscom,no,8802,56000,56000,10.190.6.165,10.190.6.165,5020,9000,RXSUNTEC,SUNTECH,no,si,no,si,si,7,no,600,no,8002,7002,prod,OP2,Op:2 MAQ:1A BD:MIA SUNTECH ST2xx CANALES: ST210-TC-01 ST240-TC-01 ST240-MS1-01 ST215-TC-05 ST215-MS3-05,"'ST210-TC-01','ST240-TC-01','ST240-MS1-01','ST215-TC-05','ST215-MS3-05'",si
CMIA-SKY-SUN-OP4,/siscom,no,8804,56100,56050,10.190.6.165,10.190.6.165,5021,9002,RXSUNTEC,SUNTECH,no,si,no,si,si,7,no,600,no,8004,7004,prod,OP4,Op:4 MAQ:1A BD:MIA SUNTECH ST2xx CANALES: ST210-MS-01 ST210-TC-02 ST215-TC-06 ST215-MS3-06 ST215-TC-07 ST215-MS-07 ST240-TC-02 ST240-MS-02,"'ST210-MS-01','ST210-TC-02','ST215-TC-06','ST215-MS3-06','ST215-TC-07','ST215-MS-07','ST240-TC-02','ST240-MS-02'",si
CMIA-SKY-SUN-OP6,/siscom,no,8806,56000,56100,10.190.6.164,10.190.6.164,5022,9003,RXSUNTEC,SUNTECH,no,si,no,si,si,7,no,600,no,8006,7006,prod,OP6,Op:6 MAQ:1A BD:MIA SUNTECH ST2xx CANALES: ST210-TC-03 ST215-TC-08 ST215-MS-08 ST240-TC-03 ST240-MS-03,"'ST210-TC-03','ST215-TC-08','ST215-MS-08','ST240-TC-03','ST240-MS-03'",si
CMIA-SKY-SUN-OP8,/siscom,no,8808,56100,56150,10.190.6.164,10.190.6.164,5025,9006,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8008,7008,prod,OP8,Op:8 MAQ:2A BD:MIA SUNTECH ST2xx CANALES: ST210-MS3-02 ST210-TC-04 ST215-TC-01 ST215-MS3-01 ,"'ST210-MS3-02','ST210-TC-04','ST215-TC-01','ST215-MS3-01'",si
CMIA-SKY-SUN-OP10,/siscom,no,8810,56200,56200,10.190.6.164,10.190.6.164,5026,9008,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8010,7010,prod,OP10,Op:10 MAQ:2A BD:MIA SUNTECH ST2xx CANALES: ST215-TC-02 ST215-MS3-02 ST215-TC-03 ST215-MS3-03,"'ST215-TC-02','ST215-MS3-02','ST215-TC-03','ST215-MS3-03'",si
CMIA-SKY-SUN-OP12,/siscom,no,8812,56100,56250,10.190.6.163,10.190.6.163,5027,9010,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8012,7012,prod,OP12,Op:12 MAQ:2A BD:MIA SUNTECH ST2xx CANALES:  ST215-MS3-04 ST215-TC-04,"'ST215-MS3-04','ST215-TC-04'",si
CMIA-SKY-SUN-OP1,/siscom,no,8801,56000,56300,10.190.6.163,10.190.6.163,5040,9040,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8001,7001,prod,OP1,Op:1 MAQ:2A BD:MCM SUNTECH ST230 CANALES: ST230-MS3-01 ST230-TC-01 ST230E-TC-01 ST230-MS3-02 ST230-TC-02 ST330i-TC-01 ST330i-MS-01 ST330e-TC-01 ST330e-MS-01 ST330e-TC-02 ST330e-MS-02,"'ST230-MS3-01','ST230-TC-01','ST230E-TC-01','ST230-MS3-02','ST230-TC-02','ST330i-TC-01','ST330i-MS-01','ST330e-TC-01','ST330e-MS-01','ST330e-TC-02','ST330e-MS-02'",si
CMIA-SKY-SUN-OP14,/siscom,no,8814,56200,56350,10.190.6.163,10.190.6.163,5023,9004,RXSUNTEC,SUNTECH,no,si,no,si,si,4,no,600,no,8014,7014,prod,OP14,Op:14 MAQ:2A BD:MIA SUNTECH ST340 CANALES: ST340-TC-01 ST340-MS-01,"'ST340-TC-01','ST340-MS-01'",si
CMIA-SKY-SUN-OP16,/siscom,no,8816,56200,56400,10.190.6.165,10.190.6.165,5029,9014,RXSUNTEC,SUNTECH,no,si,no,si,si,4,no,600,no,8016,7016,prod,OP16,Op:16 MAQ:2A BD:MIA SUNTECH CANALES: ST215-TC-09 ST215-MS-01 ST240-TC-04 ST240-MS-04 ST340-TC-02 ST340-MS-02,"'ST215-TC-09','ST215-MS-01','ST240-TC-04','ST240-MS-04','ST340-TC-02','ST340-MS-02'",si
CMIA-SKY-SUN-OP18,/siscom,no,8818,56000,56450,10.190.6.166,10.190.6.166,5022,9002,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,si,8018,7018,prod,OP18,Op:18 MAQ:LNX.42 BD:MIA SUNTECH ST300 CANALES: ST300RI-TC-01 ST300RI-MS-01,"'ST300RI-TC-01','ST300RI-MS-01'",si
CMIA-SKY-SUN-OP20,/siscom,no,8820,56100,56500,10.190.6.166,10.190.6.166,5024,9004,RXSUNTEC,SUNTECH,no,si,si,si,si,3,si,600,no,8020,7020,prod,OP20,Op:20 MAQ:LNX.42 BD:MIA SUNTECH ST340 CANALES: FLOTCON-TC-01 FLOTCON-MS-01,"'FLOTCON-TC-01','FLOTCON-MS-01'",si
CMIA-SKY-SUN-OP22,/siscom,no,8822,56200,56550,10.190.6.166,10.190.6.166,5026,9006,RXSUNTEC,SUNTECH,no,si,no,si,si,3,si,600,no,8022,7022,prod,OP22,Op:22 MAQ:LNX.42 BD:MIA SUNTECH ST340 CANALES: ST340-TC-03 ST340-MS-03,"'ST340-TC-03','ST340-MS-03'",si
CMIA-SKY-SUN-OP24,/siscom,no,8824,56300,56600,10.190.6.166,10.190.6.166,5032,9010,RXSUNTEC,SUNTECH,no,si,no,si,si,3,si,600,no,8024,7024,prod,OP24,Op:24 MAQ:LNX.42 BD:MIA SUNTECH CANALES: ST215-TC-10 ST215-MS-10 ST240-TC-05 ST240-MS-05 ST340-TC-04 ST340-MS-04,"'ST215-TC-10','ST215-MS-10','ST240-TC-05','ST240-MS-05','ST340-TC-04','ST340-MS-04'",si
CMIA-SKY-SUN-OP26,/siscom,no,8826,56000,56650,10.190.6.167,10.190.6.167,5034,9012,RXSUNTEC,SUNTECH,no,si,no,si,si,3,si,600,no,8026,7026,prod,OP26,Op:26 MAQ:LNX.98 BD:MIA SUNTECH CANALES: ST215-TC-11 ST215-MS-11 ST240-TC-06 ST240-MS-06 ST340-TC-05 ST340-MS-05,"'ST215-TC-11','ST215-MS-11','ST240-TC-06','ST240-MS-06','ST340-TC-05','ST340-MS-05'",si
CMIA-SKY-SUN-OP28,/siscom,no,8828,56100,56700,10.190.6.167,10.190.6.167,5036,9014,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8028,7028,prod,OP28,Op:28 MAQ:LNX.98 BD:MIA SUNTECH CANALES: ST215-TC-12 ST215-MS-12 ST240-TC-07 ST240-MS-07 ST340-TC-06 ST340-MS-06,"'ST215-TC-12','ST215-MS-12','ST240-TC-07','ST240-MS-07','ST340-TC-06','ST340-MS-06'",si
CMIA-SKY-SUN-OP30,/siscom,no,8830,56200,56750,10.190.6.167,10.190.6.167,5038,9016,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8030,7030,prod,OP30,Op:30 MAQ:LNX.98 BD:MIA SUNTECH CANALES: ST215-TC-13 ST215-MS-13 ST240-TC-08 ST240-MS-08 ST340-TC-07 ST340-MS-07,"'ST215-TC-13','ST215-MS-13','ST240-TC-08','ST240-MS-08','ST340-TC-07','ST340-MS-07'",si
CMIA-SKY-SUN-OP32,/siscom,no,8832,56300,56800,10.190.6.167,10.190.6.167,5042,9018,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8032,7032,prod,OP32,Op:32 MAQ:LNX.98 BD:MIA SUNTECH CANALES: ST215-TC-14 ST215-MS-14 ST240-TC-09 ST240-MS-09 ST340-TC-08 ST340-MS-08,"'ST215-TC-14','ST215-MS-14','ST240-TC-09','ST240-MS-09','ST340-TC-08','ST340-MS-08'",si
CMIA-SKY-SUN-OP34,/siscom,no,8834,56400,56850,10.190.6.167,10.190.6.167,5046,9020,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8034,7034,prod,OP34,Op:34 MAQ:LNX.98 BD:MIA SUNTECH CANALES: ST215-TC-15 ST215-MS-15 ST240-TC-10 ST240-MS-10 ST340-TC-09 ST340-MS-09,"'ST215-TC-15','ST215-MS-15','ST240-TC-10','ST240-MS-10','ST340-TC-09','ST340-MS-09'",si
CMIA-SKY-SUN-OP36,/siscom,no,8836,56000,56900,10.190.6.168,10.190.6.168,5048,9022,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8036,7036,prod,OP36,Op:36 MAQ:LNX.98 BD:MIA SUNTECH CANALES: ST215-TC-16 ST215-MS-16 ST240-TC-11 ST240-MS-11 ST340-TC-10 ST340-MS-10,"'ST215-TC-16','ST215-MS-16','ST240-TC-11','ST240-MS-11','ST340-TC-10','ST340-MS-10'",si
CMIA-GV300-OP2,/siscom,no,8902,55000,55000,10.190.6.166,10.190.6.166,5028,5028,RXQUECLINK,QUECLINK,no,si,no,si,si,3,no,600,no,8102,7302,prod,GV300OP2,GV300-OP2 MAQ:LNX.42 BD:MIA CANALES: GV300-TC-01 GV300-MS3-01 GV300-MS3-02 GV300-TC-02,"'GV300-TC-01','GV300-MS3-01','GV300-MS3-02','GV300-TC-02'",si
CMIA-GV300-OP4,/siscom,no,8904,55100,55050,10.190.6.166,10.190.6.166,5030,5030,RXQUECLINK,QUECLINK,no,si,no,si,si,3,no,600,no,8104,7304,prod,GV300OP4,GV300-OP4 MAQ:LNX.42 BD:MIA CANALES: GV300-TC-03 GV300-MS3-03,"'GV300-TC-03','GV300-MS3-03'",si
CMIA-GV75-OP2,/siscom,no,8906,55000,55100,10.190.6.165,10.190.6.165,5044,5044,RXQUECLINK,QUECLINK,no,si,si,si,si,3,no,600,no,8202,7502,prod,GV75OP2,GV75-OP2 BD:MIA CANALES: GV75-TC-01 GV75-MS-01,"'GV75-TC-01','GV75-MS-01'",si
CMIA-SKY-SUN-OP38,/siscom,no,8838,56100,56950,10.190.6.168,10.190.6.168,5050,9024,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,no,8038,7038,prod,OP38,Op:38 MAQ:LNX.168 BD:MIA SUNTECH CANALES: ST215-TC-17 ST215-MS-17 ST240-TC-12 ST240-MS-12 ST340-TC-11 ST340-MS-11 ST340RA-TC-02 ST340RA-MS-02,"'ST215-TC-17','ST215-MS-17','ST240-TC-12','ST240-MS-12','ST340-TC-11','ST340-MS-11','ST340RA-TC-02','ST340RA-MS-02'",si
CMIA-SKY-SUN-OP40,/siscom,no,8840,56200,57000,10.190.6.168,10.190.6.168,5052,9026,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,no,8040,7040,prod,OP40,Op:40 MAQ:LNX.168 BD:MIA SUNTECH CANALES: ST215-TC-18 ST215-MS-18 ST240-TC-13 ST240-MS-13 ST340-TC-12 ST340-MS-12 ST340RA-TC-03 ST340RA-MS-03,"'ST215-TC-18','ST215-MS-18','ST240-TC-13','ST240-MS-13','ST340-TC-12','ST340-MS-12','ST340RA-TC-03','ST340RA-MS-03'",si
CMIA-SKY-SUN-OP42,/siscom,no,8842,56300,57050,10.190.6.168,10.190.6.168,5054,9028,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,no,8042,7042,prod,OP42,Op:42 MAQ:LNX.168 BD:MIA SUNTECH CANALES: ST215-TC-19 ST215-MS-19 ST240-TC-14 ST240-MS-14 ST340-TC-13 ST340-MS-13 ST340RA-TC-04 ST340RA-MS-04,"'ST215-TC-19','ST215-MS-19','ST240-TC-14','ST240-MS-14','ST340-TC-13','ST340-MS-13','ST340RA-TC-04','ST340RA-MS-04'",si
CMIA-SKY-SUN-OP44,/siscom,no,8844,56400,57100,10.190.6.168,10.190.6.168,5056,9030,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,no,8044,7044,prod,OP44,Op:44 MAQ:LNX.168 BD:MIA SUNTECH CANALES: ST215-TC-20 ST215-MS-20 ST240-TC-15 ST240-MS-15 ST340-TC-14 ST340-MS-14 ST340RA-TC-05 ST340RA-MS-05,"'ST215-TC-20','ST215-MS-20','ST240-TC-15','ST240-MS-15','ST340-TC-14','ST340-MS-14','ST340RA-TC-05','ST340RA-MS-05'",si
CMIA-SKY-SUN-OP46,/siscom,no,8846,56000,57150,10.190.6.197,10.190.6.197,5058,9032,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,no,8046,7046,prod,OP46,Op:46 MAQ:LNX.197 BD:MIA SUNTECH CANALES: ST215-TC-21 ST215-MS-21 ST240-TC-16 ST240-MS-16 ST340-TC-15 ST340-MS-15 ST340RA-TC-06 ST340RA-MS-06,"'ST215-TC-21','ST215-MS-21','ST240-TC-16','ST240-MS-16','ST340-TC-15','ST340-MS-15','ST340RA-TC-06','ST340RA-MS-06'",si
CMIA-SKY-SUN-OP48,/siscom,no,8848,56100,57200,10.190.6.197,10.190.6.197,5060,9034,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,no,8048,7048,prod,OP48,Op:48 MAQ:LNX.197 BD:MIA SUNTECH CANALES: ST215-TC-22 ST215-MS-22 ST240-TC-17 ST240-MS-17 ST340-TC-16 ST340-MS-16 ST340RA-TC-07 ST340RA-MS-07,"'ST215-TC-22','ST215-MS-22','ST240-TC-17','ST240-MS-17','ST340-TC-16','ST340-MS-16','ST340RA-TC-07','ST340RA-MS-07'",si
CMIA-SKY-SUN-OP50,/siscom,no,8850,56200,57250,10.190.6.197,10.190.6.197,5062,9036,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,no,8050,7050,prod,OP50,Op:50 MAQ:LNX.197 BD:MIA SUNTECH CANALES: ST215-TC-23 ST215-MS-23 ST240-TC-18 ST240-MS-18 ST340-TC-17 ST340-MS-17 ST340RA-TC-08 ST340RA-MS-08,"'ST215-TC-23','ST215-MS-23','ST240-TC-18','ST240-MS-18','ST340-TC-17','ST340-MS-17','ST340RA-TC-08','ST340RA-MS-08'",si
CMIA-SKY-SUN-OP52,/siscom,no,8852,56300,57300,10.190.6.197,10.190.6.197,5064,9038,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,no,8052,7052,prod,OP52,Op:52 MAQ:LNX.197 BD:MIA SUNTECH CANALES: ST240-TC-19 ST240-MS-19 ST340-TC-18 ST340-MS-18 ST340RA-TC-09 ST340RA-MS-09,"'ST240-TC-19','ST240-MS-19','ST340-TC-18','ST340-MS-18','ST340RA-TC-09','ST340RA-MS-09'",si
CMIA-GV75-OP4,/siscom,no,8908,55100,55150,10.190.6.165,10.190.6.165,5066,5066,RXQUECLINK,QUECLINK,no,si,si,si,si,3,no,600,no,8204,7504,prod,GV75OP4,GV75-OP4 BD:MIA CANALES: GV75-TC-02 GV75-MS-02,"'GV75-TC-02','GV75-MS-02'",si
CMIA-SKY-SUN-OP54,/siscom,no,8854,56400,57350,10.190.6.197,10.190.6.197,5068,9042,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,no,8054,7054,prod,OP54,Op:54 MAQ:LNX.197 BD:MIA SUNTECH CANALES: ST240-TC-20 ST240-MS-20 ST340-TC-19 ST340-MS-19 ST340RA-TC-10 ST340RA-MS-10,"'ST240-TC-20','ST240-MS-20','ST340-TC-19','ST340-MS-19','ST340RA-TC-10','ST340RA-MS-10'",si